,external_id,Bill,last_scraped_at
0,HB 9997,,2021-12-02 14:22:29.044751
1,HB 182,,2021-01-26 13:10:15.556005
2,SB 9998,,2021-11-02 20:00:13.564233
3,SB 318X,,2021-01-08 19:00:33.405752
4,HB 9995,,2021-12-02 14:22:29.044751
5,SB 666,,2021-01-25 22:02:57.758465
6,HB 22229,,2021-01-24 20:15:32.165008
7,HJR 2924,,2021-02-04 18:30:16.153893
8,HR 11005,,2021-04-29 13:40:38.891718
9,HB 9996,,2021-12-02 14:22:29.044751
10,SB 9997,,2021-11-02 20:00:13.564233
11,HB 9999,,2021-11-02 20:00:13.564233
12,HB 9993,,2021-12-02 14:22:29.044751
13,HB 9992,,2021-12-02 14:22:29.044751
14,HB 9994,,2021-12-02 14:22:29.044751
15,HB 9998,,2022-02-16 13:03:32.903408
