,Bill,Title,title
0,SB 76,Relating To Education -- Curriculum,"An Act Relating To Education -- The Civic Literacy Act (Requires That Commencing With The Graduating Class Of 2022 And All Subsequent Graduating Classes Thereafter, All High School Students Attending Public Schools Shall Fulfill At Least One-Half Credit Or Course Requirement In Civics Education.)"
1,SB 86,Relating To Education -- Health And Safety Of Pupils,An Act Relating To Health And Safety  -- Feminine Hygiene Products (Provides That Feminine Hygiene Products Be Provided In All Public Schools.)
2,SB 89,Relating To Education -- Offenses Pertaining To Schools [see Title 16,"An Act Relating To Education -- Offenses Pertaining To Schools (See Title 16 Chapter 97 - The Rhode Island Board Of Education Act) (Prohibits The Use Of A School District'S Listserv To Distribute Any Political Advertisement, Invitation, And/Or Propaganda.)"
3,SB 118,Relating To Criminal Offenses – General Provisions,"An Act Relating To Criminal Offenses -- General Provisions (Reduces The Maximum Sentence For A Misdemeanor From One Year To Three Hundred And Sixty-Four (364) Days, And Would Apply To All Persons Sentenced After Its Effective Date.)"
4,SB 212,Relating To Education – Regional Vocational Schools [see Title 16,An Act Relating To Education - Regional Vocational Schools (See Title 16 Chapter 97 -- The Rhode Island Board Of Education Act) (Seeks To Advance Economic Development By Guaranteeing Students The Right To Enroll In Approved Career Technical Educational Programs And Allows Them To Enroll Outside The District Of Residence If Their District Does Not Offer A Duplicate Program.)
5,SB 224,"Authorizing The City Of Providence To Issue Not To Exceed $140,000,000","An Act Authorizing The City Of Providence To Issue Not To Exceed  $140,000,000 General Obligation Bonds, Notes And Other Evidences Of Indebtedness To Finance The Construction, Renovation, Improvement, Alteration, Repair, Landscaping, Furnishing And Equipping Of Schools And School Facilities Throughout The City, Subject To Approval Of State Housing Aid At A Reimbursement Rate  Or State Share Ratio Of Not Less Than 75% At The Time Of Issuance And Provided That The Authorization Shall Be Reduced By The Amount Of Certain Grants Received From State Bond Proceeds, From The Rhode Island Department Of Education Or From The Rhode Island School Building Authority (Authorizes Providence To Issue Not More Than $140,000,000 Bonds To Finance The Construction, Renovation, Improvement, Alteration, Repair, Landscaping, Furnishing And Equipping Of Schools And School Facilities Throughout The City Of Providence.)"
6,SB 229,Relating To Taxation – Real Estate Conveyance Tax,An Act Relating To Taxation -- Real Estate Conveyance Tax (Increases The Housing Resources Restricted Receipts Account By $.60 Previously Retained For State Use.)
7,SB 231,Relating To Insurance -- Health Care For Children And Pregnant,An Act Relating To Insurance --  Health Care For Children And Pregnant Women (Allows Pregnant Women With An Annual Family Income Above The Applicable Medicaid Income Limit To Be Eligible To Purchase Health Insurance Through One Of The Medicaid Managed Care Plans.)
8,SB 246,Relating To Health And Safety – Nondiscrimination In Access To,An Act Relating To Health And Safety -- Nondiscrimination In Access To Anatomical Gifts And Organ Transplant Act (Isaac'S Law) (Prohibits Discrimination Against A Potential Organ Transplant Recipient Based Solely On A Physical Or Mental Disability.)
9,SB 248,Relating To Financial Institutions – Powers And Operations,"An Act Relating To Financial Institutions -- Powers And Operations (Prohibits Financial Institutions From Investing In Private Detention Centers Or Continuing To Invest With Any Institution, Company Or Subsidiary Of A Company That Owns Or Contracts With A Government Entity To Manage Or Run A Prison.)"
10,SB 291,Relating To Health And Safety – Rhode Island Resource Recovery,"An Act Relating To Health And Safety -- Rhode Island Resource Recovery Corporation (Provides That Any Operational Surplus Of The Rhode Island Resource Recovery Corporation Shall Be Automatically Transferred, On An Annual Basis, To A Restricted Receipt Account For The Sole Purpose Of Waste Management Infrastructure.)"
11,SB 310,Relating To Public Records – Public Records Administration,An Act Relating To Public Records -- Public Records Administration (Establishes Public Records Administration Program For The Custody/Disposal Of State Public Records Assisted By An Advisory Commission.)
12,SB 393,Relating To Education – Criminal Background Checks Of Volunteers,An Act Relating To Education -- Criminal Background Checks Of Volunteers And Interns (Requires State And National Criminal Background Checks Person Volunteering Or Interning At Any Elementary Or Secondary Educational Institution. It Would Also Waive Fees For Background Checks Employment With Salary Of Less Than Forty Thousand Dollars.)
13,SB 402,Relating To Fish And Wildlife –- Field Trials And Shooting Preserves,An Act Relating To Fish And Wildlife -- Field Trials And Shooting Preserves (Defines Captive Hunting As A Hunt That Occurs Within A Structure Designed To Restrict The Free Movement Of Animals And Prevents The Animal From Escaping And Would Prohibit Captive Hunting Within The State Of Rhode Island.)
14,SB 411,Relating To Criminal Offenses -- Sexual Assault,An Act Relating To Criminal Offenses --  Sexual Assault (Increases The Age Of Children Able To Utilize A Recorded Forensic Interview For Cases Of Sexual Abuse In Grand Jury Testimony -- Child Assault From Age Fourteen (14) To Age Eighteen (18).)
15,SB 415,Relating To Criminal Offenses -- Assault Weapons,"An Act Relating  To Criminal Offenses -- Assault Weapons (Bans The Possession, Sale, And Transfer Of Assault Weapons. Assault Weapons Owned On The Effective Date Of This Act Would Be ""Grandfathered"" Subject To Certain Registration Provisions.)"
16,SB 460,Relating To Education – Teachers’ Retirement [see Title 16 Chapter 97 –,An Act Relating To Education -- Teachers' Retirement (See Title 16 Chapter 97 -- The Rhode Island Board Of Education Act (Increases The Maximum Amount Of Days For Substitute Teachers And Athletic Coaches From 90 Days To 120 Days.)
17,SB 464,Relating To Education – The Climate Literacy Act,An Act Relating To Education -- The Climate Literacy Act (Implements Literacy Of Climate Change For All Students Enrolled In Public Schools Or Other Schools Managed And Controlled By The State In Kindergarten Through Twelve (K-12).)
18,SB 478,Relating To Taxation – The First-time Homebuyers Savings Account,An Act Relating To Taxation -- The First-Time Homebuyers Savings Account Act (Authorizes The Creation Of First-Time Homebuyer Savings Account From Which Savings To Purchase A Home Could Be Deducted From An Individual'S Or Couple'S Personal Income Taxes.)
19,SB 530,Relating To Criminal Offenses – Burglary And Breaking And Entering,"An Act Relating To Criminal Offenses -- Burglary And Breaking And Entering (Adds A Rebuttable Defense If Any Person Shall Die Or Sustain A Personal Injury While Committing Robbery Of The Owner, Lessor, Or Occupant Of A Motor Vehicle And That The Owner Or Occupant Of The Vehicle Acted In Self Defense.)"
20,SB 549,Relating To Public Property And Works -- State Purchases,"An Act Relating To Public Property And Works -- Minority Business Enterprises (Provides An Exception To Competitive Bidding For Local, Minority And Woman-Owned Businesses. Provides A Waiver Of Compliance To Contractors For The Inclusion Of Minority-Owned Businesses In All Procurements And Construction Projects.)"
21,SB 551,Relating To Health And Safety – State Building Code,An Act Relating To Health And Safety -- State Building Code (Increases The Levy On Total Construction Costs For Building Permits And Direct 50% Of Such Levy Be Transmitted Monthly To Dlt And Deposited Into The Construction Workforce Training Restricted Receipt Account To Be Used For Workforce Training Grants.)
22,SB 576,Relating To State Affairs And Government -– Health Care For,"An Act Relating To State Affairs And Government -- Health Care For Children And Pregnant Women (Expands The Rite Track Program To Provide Health Care Coverage To Children Up To Age Nineteen (19) Funded By Federal Funds, If Available, Or If Not Available, By State Funds.)"
23,SB 582,Relating To Education – Foundation Level School Support [see Title 16,"An Act Relating To Education -- Foundation Level School Support (See Title 16 Chapter 97 -- The Rhode Island Board Of Education Act) (Provides Districts With Free And Reduced Lunch Populations Above 20% Have Their Minimum Housing Aid Share Increased To 40% For Projects Completed After July 1, 2020 And School Housing Aid Ratio Increased To 5% If Completed By December 30, 2027.)"
24,SB 588,Relating To Businesses And Professions -- Physician Assistants,An Act Relating To Businesses And  Professions -- Physician Assistants (Expands The Rights Of Physician Assistants With Regard To Their Practice And Prohibits Non-Compete Clauses That Exceed Five Years With Regard To The Purchase And Sale Of A Practice.)
25,SB 651,Relating To Health And Safety - The Breast Cancer Act,"An Act Relating To Health And Safety - Breast Cancer Patient Notification (Allows For A Summary Of A Patient'S Mammography Report Be Provided To The Patient By Mail, Electronically, Or Otherwise.)"
26,SB 668,Relating To Property – Residential Rent And Mortgage Cancellation,An Act Relating To Property -- Residential Rent And Mortgage Cancellation Act Of 2021 (Forgives Rent For Tenants And Mortgage Payments For Small Homeowners From The Date Of A Declared Health Emergency By The Governor Until The Expiration Of Ninety (90) Days After The Governor Declares That The State Of Emergency Has Ended.)
27,SB 674,"Relating To Corporations, Associations, And Partnerships -- The Rhode","An Act Relating To Corporations, Associations, And Partnerships -- Uniform Limited Partnership Act (Enacts The Rhode Island Limited Partnership Act To Govern The Law Of Limited Partnerships In This State And Repeal Chapter 12 Of Title 7 Entitled ""Limited Partnerships"". Effective January 1, 2022.)"
28,SB 709,Relating To Insurance – Dental Insurance,"An Act Relating To Insurance -- Dental Insurance (Expands Dental Insurance Coverage, Prohibits Certain Deductions And Requires Coverage Where There Is A Pre-Existing Conditions Or Any Earlier Treatments. Annual Reports Must Be Publicized And Filed With The Department Of Health.)"
29,SB 723,Relating To Insurance – Liability Insurance,"An Act Relating To Insurance -- Liability Insurance (Provides That If An Insured Has One Or More Motor Vehicles With Uninsured Motorist’S Coverage, The Insured Is Permitted To Collect Up To The Aggregate Amount Of Coverage For All Vehicles Covered By The Insurance Policies.)"
30,SB 741,Relating To Public Property And Works – Affirmative Action Plans,An Act Relating To Public Property And Works -- Affirmative Action Plans (Requires A Contractor To Submit An Affirmative Action And Equal Employment Opportunity Plan Or Program Prior To The Award Of Any Contract.)
31,SB 762,Relating To State Affairs And Government – Department Of,An Act Relating To State Affairs And Government -- Department Of Environmental Management (Waives Beach Parking Fees At Any State Beach For Any Person That Qualifies For A Free Or Reduced Lunch Pursuant To § 16-8-10.)
32,SB 778,Relating To Health And Safety – State Building Code,"An Act Relating To Health And Safety -- State Building Code (Requires Baby Changing Tables In Publicly Accessible Restrooms In Existing And New State And Municipal Buildings, Including State House And That Accommodations Are Equally Available Regardless Of Gender For Which Restroom Is Designed.)"
