,external_id,Bill,last_scraped_at
0,HJR 8004,,2021-10-19 12:51:21.414731
1,HB 7002,,2021-01-16 00:34:34.867220
2,HB 7011,,2021-01-16 00:34:34.867220
3,HB 7020,,2021-01-16 00:34:34.867220
4,HB 7010,,2021-01-16 00:34:34.867220
5,HB 7018,,2021-01-16 00:34:34.867220
6,HB 7004,,2021-01-16 00:34:34.867220
7,HB 7007,,2021-01-16 00:34:34.867220
8,HB 7001,,2021-01-16 00:34:34.867220
9,HB 7015,,2021-01-16 00:34:34.867220
10,HB 7008,,2021-01-16 00:34:34.867220
11,HB 7006,,2021-01-16 00:34:34.867220
12,HB 7012,,2021-01-16 00:34:34.867220
13,HB 7009,,2021-01-16 00:34:34.867220
14,HB 7014,,2021-01-16 00:34:34.867220
15,HB 7016,,2021-01-16 00:34:34.867220
16,HB 7017,,2021-01-16 00:34:34.867220
17,HB 7013,,2021-01-16 00:34:34.867220
18,HB 7019,,2021-01-16 00:34:34.867220
19,HB 7005,,2021-01-16 00:34:34.867220
20,HB 7003,,2021-01-16 00:34:34.867220
21,HJR 7005,,2021-10-19 12:51:21.414731
22,HJR 7002,,2021-10-19 12:51:21.414731
23,HJR 7001,,2021-10-19 12:51:21.414731
24,HJR 8001,,2021-10-19 12:51:21.414731
25,HJR 7003,,2021-10-19 12:51:21.414731
26,HJR 7004,,2021-10-19 12:51:21.414731
27,HJR 7006,,2021-10-19 12:51:21.414731
28,HJR 8002,,2021-10-19 12:51:21.414731
29,HR 7001,,2021-10-14 16:13:26.645095
30,HR 7002,,2021-10-14 16:13:26.645095
31,HR 8001,,2021-10-14 16:13:26.645095
32,HR 7003,,2021-10-14 16:13:26.645095
33,HJR 8003,,2021-10-19 12:51:21.414731
34,SJR 8004,,2021-10-19 12:51:21.414731
35,SJR 7003,,2021-10-19 12:51:21.414731
36,SJR 8003,,2021-10-19 12:51:21.414731
37,SJR 7005,,2021-10-19 12:51:21.414731
38,SJR 7004,,2021-10-19 12:51:21.414731
39,SJR 7002,,2021-10-19 12:51:21.414731
40,SJR 8002,,2021-10-19 12:51:21.414731
41,SJR 7001,,2021-10-19 12:51:21.414731
42,SR 8003,,2021-10-19 12:51:21.414731
43,SR 8001,,2021-10-19 12:51:21.414731
44,SR 7001,,2021-10-19 12:51:21.414731
45,SJR 8005,,2021-10-19 12:51:21.414731
46,SJR 8001,,2021-10-19 12:51:21.414731
47,SJR 7006,,2021-10-19 12:51:21.414731
48,SR 8004,,2021-10-19 12:51:21.414731
49,SR 8002,,2021-10-19 12:51:21.414731
50,HJR 8010,,2021-10-19 12:51:21.414731
51,HJR 8006,,2021-10-19 12:51:21.414731
52,SJR 8006,,2021-10-19 12:51:21.414731
53,HJR 8008,,2021-10-19 12:51:21.414731
54,HJR 8009,,2021-10-19 12:51:21.414731
55,HJR 8007,,2021-10-19 12:51:21.414731
56,HJR 8005,,2021-10-19 12:51:21.414731
